GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-F4-6855-01A-11D-A920-36	chr1	17001	12789000	11798	-0.415610
TCGA-F4-6855-01A-11D-A920-36	chr1	12789001	13007000	90	-1.389875
TCGA-F4-6855-01A-11D-A920-36	chr1	13056001	16611000	3290	-0.408857
TCGA-F4-6855-01A-11D-A920-36	chr1	16611001	16647000	36	-0.721417
TCGA-F4-6855-01A-11D-A920-36	chr1	16647001	16675000	8	-1.589135
TCGA-F4-6855-01A-11D-A920-36	chr1	16675001	16947000	152	-0.268533
TCGA-F4-6855-01A-11D-A920-36	chr1	16947001	34636000	17519	-0.404714
TCGA-F4-6855-01A-11D-A920-36	chr1	34636001	34647000	11	-9.330402
TCGA-F4-6855-01A-11D-A920-36	chr1	34647001	121772000	84758	-0.391361
TCGA-F4-6855-01A-11D-A920-36	chr1	121774001	124781000	317	0.145202
TCGA-F4-6855-01A-11D-A920-36	chr1	124782001	143312000	323	0.301612
TCGA-F4-6855-01A-11D-A920-36	chr1	143483001	143743000	199	-0.076158
TCGA-F4-6855-01A-11D-A920-36	chr1	143743001	145720000	344	0.301062
TCGA-F4-6855-01A-11D-A920-36	chr1	145720001	149651000	1808	0.323403
TCGA-F4-6855-01A-11D-A920-36	chr1	149656001	149675000	13	-1.136799
TCGA-F4-6855-01A-11D-A920-36	chr1	149677001	151930000	2096	0.317240
TCGA-F4-6855-01A-11D-A920-36	chr1	151930001	157376000	5352	0.316176
TCGA-F4-6855-01A-11D-A920-36	chr1	157376001	159263000	1874	0.321805
TCGA-F4-6855-01A-11D-A920-36	chr1	159263001	160073000	805	0.336091
TCGA-F4-6855-01A-11D-A920-36	chr1	160073001	161573000	1464	0.322682
TCGA-F4-6855-01A-11D-A920-36	chr1	161591001	161687000	61	1.049568
TCGA-F4-6855-01A-11D-A920-36	chr1	161687001	161964000	277	0.325003
TCGA-F4-6855-01A-11D-A920-36	chr1	161964001	164214000	2238	0.323625
TCGA-F4-6855-01A-11D-A920-36	chr1	164214001	167066000	2840	0.320239
TCGA-F4-6855-01A-11D-A920-36	chr1	167066001	167083000	17	0.307492
TCGA-F4-6855-01A-11D-A920-36	chr1	167083001	169302000	2190	0.331975
TCGA-F4-6855-01A-11D-A920-36	chr1	169302001	173598000	4278	0.332997
TCGA-F4-6855-01A-11D-A920-36	chr1	173598001	177969000	4327	0.320019
TCGA-F4-6855-01A-11D-A920-36	chr1	177969001	183434000	5438	0.328606
TCGA-F4-6855-01A-11D-A920-36	chr1	183434001	183585000	151	0.347582
TCGA-F4-6855-01A-11D-A920-36	chr1	183585001	189353000	5725	0.322073
TCGA-F4-6855-01A-11D-A920-36	chr1	189353001	190139000	784	0.310718
TCGA-F4-6855-01A-11D-A920-36	chr1	190139001	192797000	2646	0.318938
TCGA-F4-6855-01A-11D-A920-36	chr1	192797001	192836000	39	0.322514
TCGA-F4-6855-01A-11D-A920-36	chr1	192836001	195129000	2277	0.326036
TCGA-F4-6855-01A-11D-A920-36	chr1	195129001	196206000	1073	0.318319
TCGA-F4-6855-01A-11D-A920-36	chr1	196206001	196737000	525	0.331737
TCGA-F4-6855-01A-11D-A920-36	chr1	196737001	196814000	27	0.424504
TCGA-F4-6855-01A-11D-A920-36	chr1	196835001	196936000	89	-1.379346
TCGA-F4-6855-01A-11D-A920-36	chr1	196937001	202229000	5263	0.322594
TCGA-F4-6855-01A-11D-A920-36	chr1	202229001	208272000	5760	0.322910
TCGA-F4-6855-01A-11D-A920-36	chr1	208272001	208284000	12	1.055659
TCGA-F4-6855-01A-11D-A920-36	chr1	208284001	211648000	3346	0.320724
TCGA-F4-6855-01A-11D-A920-36	chr1	211648001	213409000	1752	0.326701
TCGA-F4-6855-01A-11D-A920-36	chr1	213409001	213482000	73	0.301693
TCGA-F4-6855-01A-11D-A920-36	chr1	213482001	214774000	1292	0.317852
TCGA-F4-6855-01A-11D-A920-36	chr1	214774001	219985000	5172	0.311361
TCGA-F4-6855-01A-11D-A920-36	chr1	219985001	220053000	68	0.294246
TCGA-F4-6855-01A-11D-A920-36	chr1	220053001	222060000	2004	0.314147
TCGA-F4-6855-01A-11D-A920-36	chr1	222060001	222070000	10	0.363200
TCGA-F4-6855-01A-11D-A920-36	chr1	222070001	222778000	682	0.319749
TCGA-F4-6855-01A-11D-A920-36	chr1	222778001	223677000	840	0.315458
TCGA-F4-6855-01A-11D-A920-36	chr1	223677001	224734000	998	0.314778
TCGA-F4-6855-01A-11D-A920-36	chr1	224734001	230750000	5887	0.319020
TCGA-F4-6855-01A-11D-A920-36	chr1	230750001	239063000	8260	0.317609
TCGA-F4-6855-01A-11D-A920-36	chr1	239063001	239143000	80	0.336681
TCGA-F4-6855-01A-11D-A920-36	chr1	239143001	241421000	2269	0.311214
TCGA-F4-6855-01A-11D-A920-36	chr1	241421001	241540000	119	0.305375
TCGA-F4-6855-01A-11D-A920-36	chr1	241540001	242646000	1096	0.299353
TCGA-F4-6855-01A-11D-A920-36	chr1	242646001	242681000	35	0.304704
TCGA-F4-6855-01A-11D-A920-36	chr1	242681001	243103000	393	0.297108
TCGA-F4-6855-01A-11D-A920-36	chr1	243103001	243625000	519	0.308922
TCGA-F4-6855-01A-11D-A920-36	chr1	243625001	246705000	3054	0.316293
TCGA-F4-6855-01A-11D-A920-36	chr1	246705001	246756000	51	0.340089
TCGA-F4-6855-01A-11D-A920-36	chr1	246756001	248482000	1667	0.318236
TCGA-F4-6855-01A-11D-A920-36	chr1	248482001	248622000	68	0.401775
TCGA-F4-6855-01A-11D-A920-36	chr1	248622001	248931000	282	0.323969
TCGA-F4-6855-01A-11D-A920-36	chr2	11001	131000	120	0.027946
TCGA-F4-6855-01A-11D-A920-36	chr2	131001	7624000	7387	-0.016767
TCGA-F4-6855-01A-11D-A920-36	chr2	7624001	17281000	9604	0.002505
TCGA-F4-6855-01A-11D-A920-36	chr2	17281001	24939000	7629	0.008630
TCGA-F4-6855-01A-11D-A920-36	chr2	24939001	25393000	454	-0.010586
TCGA-F4-6855-01A-11D-A920-36	chr2	25393001	29757000	4346	0.007656
TCGA-F4-6855-01A-11D-A920-36	chr2	29757001	29804000	46	0.002036
TCGA-F4-6855-01A-11D-A920-36	chr2	29804001	31266000	1457	-0.014742
TCGA-F4-6855-01A-11D-A920-36	chr2	31266001	41155000	9790	0.010423
TCGA-F4-6855-01A-11D-A920-36	chr2	41155001	41311000	156	0.021010
TCGA-F4-6855-01A-11D-A920-36	chr2	41311001	44847000	3509	0.011726
TCGA-F4-6855-01A-11D-A920-36	chr2	44847001	45291000	431	-0.004462
TCGA-F4-6855-01A-11D-A920-36	chr2	45291001	57283000	11925	0.007699
TCGA-F4-6855-01A-11D-A920-36	chr2	57283001	63281000	5966	0.001748
TCGA-F4-6855-01A-11D-A920-36	chr2	63281001	74868000	11523	0.010984
TCGA-F4-6855-01A-11D-A920-36	chr2	74868001	77257000	2374	0.007244
TCGA-F4-6855-01A-11D-A920-36	chr2	77257001	77411000	153	0.000173
TCGA-F4-6855-01A-11D-A920-36	chr2	77411001	78849000	1417	0.000145
TCGA-F4-6855-01A-11D-A920-36	chr2	78849001	78854000	5	-29.899260
TCGA-F4-6855-01A-11D-A920-36	chr2	78854001	83513000	4635	-0.000431
TCGA-F4-6855-01A-11D-A920-36	chr2	83513001	86891000	3325	0.009994
TCGA-F4-6855-01A-11D-A920-36	chr2	86891001	88870000	1104	-0.003517
TCGA-F4-6855-01A-11D-A920-36	chr2	88870001	96818000	3483	0.005009
TCGA-F4-6855-01A-11D-A920-36	chr2	96818001	96959000	140	-0.023581
TCGA-F4-6855-01A-11D-A920-36	chr2	96959001	97602000	309	0.063215
TCGA-F4-6855-01A-11D-A920-36	chr2	97608001	118194000	19041	0.005211
TCGA-F4-6855-01A-11D-A920-36	chr2	118194001	125294000	7047	-0.002093
TCGA-F4-6855-01A-11D-A920-36	chr2	125294001	129703000	4364	0.000370
TCGA-F4-6855-01A-11D-A920-36	chr2	129703001	133194000	3039	-0.008554
TCGA-F4-6855-01A-11D-A920-36	chr2	133194001	136872000	3649	-0.001068
TCGA-F4-6855-01A-11D-A920-36	chr2	136872001	155311000	18304	0.003727
TCGA-F4-6855-01A-11D-A920-36	chr2	155311001	180954000	25419	0.016856
TCGA-F4-6855-01A-11D-A920-36	chr2	180954001	183930000	2956	0.019473
TCGA-F4-6855-01A-11D-A920-36	chr2	183930001	183939000	9	-1.348778
TCGA-F4-6855-01A-11D-A920-36	chr2	183939001	188907000	4937	0.015943
TCGA-F4-6855-01A-11D-A920-36	chr2	188907001	201326000	12336	0.021208
TCGA-F4-6855-01A-11D-A920-36	chr2	201326001	215235000	13823	0.011192
TCGA-F4-6855-01A-11D-A920-36	chr2	215235001	215681000	445	-0.008541
